t_s,T_K,Sw,Si,e_Pa,dqcloud_dt,dqice_dt,qcloud,qice,Ncloud,Nice,ice_active
425.0,268.90000000000384,0.003757309864892644,0.11528589984988069,447.8920725174141,0.0007514619729785288,0.0,0.26001283419692733,0.0,500003000.0,0.0,0
426.0,268.89000000000385,0.0037575902359980873,0.11528621137333106,447.5567336079316,0.0007515180471996175,0.0,0.260764352244127,0.0,500003000.0,0.0,0
427.0,268.88000000000386,0.0037578706385243965,0.11528652293169372,447.22162085664047,0.0007515741277048793,0.0,0.26151592637183185,0.0,500003000.0,0.0,0
428.0,268.87000000000387,0.0037581510724711276,0.1152868345249678,446.88673412874516,0.0007516302144942255,0.0,0.26226755658632606,0.0,500003000.0,0.0,0
429.0,268.8600000000039,0.003758431537846052,0.11528714615316238,446.5520732895189,0.0007516863075692104,0.0,0.2630192428938953,0.0,500003000.0,0.0,0
430.0,268.8500000000039,0.003758712034654499,0.1152874578162828,446.21763820430385,0.0007517424069308998,0.0,0.26377098530082616,0.0,500003000.0,0.0,0
431.0,268.8400000000039,0.0037589925629017973,0.11528776951433528,445.8834287385111,0.0007517985125803595,0.0,0.2645227838134065,0.0,500003000.0,0.0,0
432.0,268.8300000000039,0.0037592731225881693,0.11528808124732004,445.549444757621,0.0007518546245176339,0.0,0.26527463843792415,0.0,500003000.0,0.0,0
433.0,268.8200000000039,0.0037595537137227186,0.11528839301524729,445.21568612718244,0.0007519107427445438,0.0,0.2660265491806687,0.0,500003000.0,0.0,0
434.0,268.8100000000039,0.003759834336308776,0.11528870481812103,444.88215271281325,0.0007519668672617552,0.0,0.26677851604793046,0.0,500003000.0,0.0,0
435.0,268.80000000000393,0.0037601149903505604,0.11528901665594504,444.54884438020014,0.0007520229980701121,0.0,0.26753053904600055,0.0,500003000.0,0.0,0
436.0,268.79000000000394,0.0037603956758527346,0.11528932852872531,444.21576099509866,0.000752079135170547,0.0,0.2682826181811711,0.0,500003000.0,0.0,0
437.0,268.78000000000395,0.0037606763928190734,0.11528964043646561,443.8829024233332,0.0007521352785638147,0.0,0.26903475345973493,0.0,500003000.0,0.0,0
438.0,268.77000000000396,0.0037609571412582365,0.11528995237917572,443.5502685307965,0.0007521914282516474,0.0,0.2697869448879866,0.0,500003000.0,0.0,0
439.0,268.76000000000397,0.0037612379211711122,0.11529026435685674,443.21785918345034,0.0007522475842342225,0.0,0.2705391924722208,0.0,500003000.0,0.0,0
440.0,268.750000000004,0.0037615187325621413,0.11529057636951356,442.8856742473253,0.0007523037465124283,0.0,0.2712914962187332,0.0,500003000.0,0.0,0
441.0,268.740000000004,0.0037617995754406497,0.11529088841715618,442.5537135885202,0.00075235991508813,0.0,0.27204385613382137,0.0,500003000.0,0.0,0
442.0,268.730000000004,0.003762080449805749,0.11529120049978414,442.22197707320294,0.0007524160899611499,0.0,0.2727962722237825,0.0,500003000.0,0.0,0
443.0,268.720000000004,0.003762361355663213,0.11529151261740367,441.89046456760985,0.0007524722711326426,0.0,0.2735487444949151,0.0,500003000.0,0.0,0
444.0,268.710000000004,0.003762642293022811,0.1152918247700252,441.55917593804554,0.0007525284586045622,0.0,0.2743012729535197,0.0,500003000.0,0.0,0
445.0,268.700000000004,0.0037629232618823227,0.11529213695764717,441.2281110508837,0.0007525846523764646,0.0,0.2750538576058962,0.0,500003000.0,0.0,0
446.0,268.69000000000403,0.0037632042622526285,0.11529244918028048,440.8972697725659,0.0007526408524505257,0.0,0.2758064984583467,0.0,500003000.0,0.0,0
447.0,268.68000000000404,0.003763485294132174,0.11529276143792444,440.5666519696029,0.0007526970588264348,0.0,0.2765591955171731,0.0,500003000.0,0.0,0
448.0,268.67000000000405,0.003763766357531839,0.11529307373059083,440.2362575085733,0.0007527532715063678,0.0,0.2773119487886795,0.0,500003000.0,0.0,0
449.0,268.66000000000406,0.0037640474524511802,0.11529338605827921,439.90608625612464,0.0007528094904902361,0.0,0.2780647582791697,0.0,500003000.0,0.0,0
450.0,268.65000000000407,0.003764328578899079,0.11529369842099912,439.57613807897235,0.0007528657157798158,0.0,0.2788176239949495,0.0,500003000.0,0.0,0
451.0,268.6400000000041,0.0037646097368779774,0.11529401081875323,439.24641284390054,0.0007529219473755955,0.0,0.2795705459423251,0.0,500003000.0,0.0,0
452.0,268.6300000000041,0.003764890926391873,0.11529432325154665,438.9169104177617,0.0007529781852783746,0.0,0.2803235241276035,0.0,500003000.0,0.0,0
453.0,268.6200000000041,0.0037651721474489808,0.1152946357193878,438.58763066747633,0.0007530344294897962,0.0,0.2810765585570933,0.0,500003000.0,0.0,0
454.0,268.6100000000041,0.003765453400049079,0.11529494822227693,438.25857346003363,0.0007530906800098159,0.0,0.28182964923710313,0.0,500003000.0,0.0,0
455.0,268.6000000000041,0.0037657346842008277,0.11529526076022312,437.92973866249076,0.0007531469368401656,0.0,0.2825827961739433,0.0,500003000.0,0.0,0
456.0,268.5900000000041,0.003766015999906891,0.1152955733332297,437.6011261419732,0.0007532031999813783,0.0,0.2833359993739247,0.0,500003000.0,0.0,0
457.0,268.58000000000413,0.0037662973471739303,0.11529588594130424,437.27273576567455,0.0007532594694347861,0.0,0.28408925884335945,0.0,500003000.0,0.0,0
458.0,268.57000000000414,0.0037665787260050543,0.11529619858445006,436.9445674008566,0.0007533157452010109,0.0,0.28484257458856044,0.0,500003000.0,0.0,0
459.0,268.56000000000415,0.00376686013640537,0.11529651126267249,436.6166209148494,0.0007533720272810741,0.0,0.28559594661584153,0.0,500003000.0,0.0,0
460.0,268.55000000000416,0.0037671415783806506,0.11529682397597862,436.2888961750509,0.0007534283156761302,0.0,0.2863493749315177,0.0,500003000.0,0.0,0
461.0,268.54000000000417,0.0037674230519335605,0.11529713672437047,435.96139304892733,0.0007534846103867121,0.0,0.2871028595419044,0.0,500003000.0,0.0,0
462.0,268.5300000000042,0.003767704557068763,0.11529744950785403,435.634111404013,0.0007535409114137527,0.0,0.2878564004533182,0.0,500003000.0,0.0,0
463.0,268.5200000000042,0.003767986093794251,0.11529776232643796,435.30705110791,0.0007535972187588503,0.0,0.288609997672077,0.0,500003000.0,0.0,0
464.0,268.5100000000042,0.0037682676621102473,0.11529807518012247,434.98021202828875,0.0007536535324220496,0.0,0.2893636512044991,0.0,500003000.0,0.0,0
465.0,268.5000000000042,0.0037685492620274097,0.11529838806891934,434.65359403288716,0.000753709852405482,0.0,0.29011736105690455,0.0,500003000.0,0.0,0
466.0,268.4900000000042,0.003768830893543962,0.11529870099282657,434.3271969895116,0.0007537661787087925,0.0,0.29087112723561337,0.0,500003000.0,0.0,0
467.0,268.4800000000042,0.0037691125566687855,0.11529901395185416,434.001020766036,0.0007538225113337571,0.0,0.29162494974694714,0.0,500003000.0,0.0,0
468.0,268.47000000000423,0.003769394251403213,0.11529932694600364,433.6750652304025,0.0007538788502806427,0.0,0.2923788285972278,0.0,500003000.0,0.0,0
469.0,268.46000000000424,0.0037696759777572364,0.1152996399752857,433.3493302506206,0.0007539351955514473,0.0,0.29313276379277925,0.0,500003000.0,0.0,0
470.0,268.45000000000425,0.0037699577357312997,0.11529995303970142,433.0238156947681,0.00075399154714626,0.0,0.29388675533992553,0.0,500003000.0,0.0,0
471.0,268.44000000000426,0.003770239525331398,0.11530026613925703,432.6985214309903,0.0007540479050662796,0.0,0.2946408032449918,0.0,500003000.0,0.0,0
472.0,268.43000000000427,0.0037705213465619725,0.11530057927395765,432.37344732750046,0.0007541042693123946,0.0,0.2953949075143042,0.0,500003000.0,0.0,0
473.0,268.4200000000043,0.003770803199428352,0.11530089244380926,432.04859325257945,0.0007541606398856704,0.0,0.29614906815418984,0.0,500003000.0,0.0,0
